Date,BWB ID,Modification type,Before,After,Adds,Modifies,Deletes
1996-07-01,BWBR0008108,add,,,1,0,0
1996-07-01,BWBR0007499,add,,,1,0,0
1996-07-01,BWBR0008133,add,,,1,0,0
1996-07-01,BWBR0006618,add,,,1,0,0
1996-07-01,BWBR0008022,add,,,1,0,0
1996-07-01,BWBR0005102,add,,,1,0,0
1996-07-01,BWBR0008148,add,,,1,0,0
1996-07-01,BWBR0008027,add,,,1,0,0
1996-07-01,BWBR0008129,add,,,1,0,0
1996-07-01,BWBR0008067,add,,,1,0,0
1996-07-01,BWBR0007027,add,,,1,0,0
1996-07-01,BWBR0008244,add,,,1,0,0
1996-07-01,BWBR0003759,add,,,1,0,0
1996-07-01,BWBR0008055,add,,,1,0,0
1996-07-01,BWBV0001848,add,,,1,0,0
1996-07-01,BWBV0001201,add,,,1,0,0
1996-07-01,BWBV0004515,add,,,1,0,0
1996-07-01,BWBV0001232,add,,,1,0,0
1996-07-01,BWBV0001233,add,,,1,0,0
1996-07-01,BWBR0003233,add,,,1,0,0
1996-07-01,BWBR0007894,add,,,1,0,0
1996-07-01,BWBR0007978,add,,,1,0,0
1996-07-01,BWBR0008112,add,,,1,0,0
1980-07-19,BWBR0003325,add,,,1,0,0
2001-10-17,BWBV0001497,add,,,1,0,0
2001-10-15,BWBR0012879,add,,,1,0,0
2001-10-15,BWBV0001511,add,,,1,0,0
2005-08-01,BWBR0006806,add,,,1,0,0
2005-08-01,BWBR0012644,add,,,1,0,0
2005-08-01,BWBR0018445,add,,,1,0,0
2005-08-01,BWBR0018361,add,,,1,0,0
2005-08-01,BWBR0017258,add,,,1,0,0
2005-08-01,BWBR0018589,add,,,1,0,0
2005-08-01,BWBV0001664,add,,,1,0,0
2005-08-01,BWBV0002975,add,,,1,0,0
2005-08-01,BWBV0001264,add,,,1,0,0
2005-08-01,BWBV0001751,add,,,1,0,0
2005-08-01,BWBV0002644,add,,,1,0,0
2005-08-01,BWBR0005125,add,,,1,0,0
2005-08-01,BWBR0013730,add,,,1,0,0
2005-08-01,BWBR0018038,add,,,1,0,0
2005-08-03,BWBR0018280,add,,,1,0,0
2005-08-03,BWBR0010244,add,,,1,0,0
2005-08-03,BWBR0008573,add,,,1,0,0
2005-08-03,BWBR0007972,add,,,1,0,0
2005-08-03,BWBR0009524,add,,,1,0,0
2005-08-03,BWBR0006250,add,,,1,0,0
2005-08-03,BWBR0007145,add,,,1,0,0
2005-08-03,BWBR0007383,add,,,1,0,0
2005-08-03,BWBR0007404,add,,,1,0,0
2005-08-03,BWBR0007869,add,,,1,0,0
2005-08-03,BWBR0007971,add,,,1,0,0
2005-08-03,BWBR0008767,add,,,1,0,0
2005-08-03,BWBR0010384,add,,,1,0,0
2005-08-03,BWBR0008167,add,,,1,0,0
2005-08-07,BWBR0018401,add,,,1,0,0
2005-08-07,BWBR0018635,add,,,1,0,0
2005-08-06,BWBR0018407,add,,,1,0,0
2005-08-06,BWBR0018408,add,,,1,0,0
2005-08-06,BWBR0018409,add,,,1,0,0
2005-08-06,BWBR0018410,add,,,1,0,0
2005-08-06,BWBR0018411,add,,,1,0,0
